textgroup;context;source;language;plural;translation
default;;" new";nl;0;nieuw
default;;"!low to !high";nl;0;"!low naar !high"
default;;"!name field is required.";nl;0;"Het veld !name is verplicht."
default;;"!name field value must be @start plus a multiple of @step. i.e. @samples, etc.";nl;0;"veldwaarde !name moet @start zijn plus een meervoud van @step. Bijv. @samples, etc."
default;;"!name field value must be a multiple of @step. i.e. @samples, etc.";nl;0;"veldwaarde !name moet een meervoud zijn van @step. Bijv @samples, etc."
default;;"!name field value must be greater than @min.";nl;0;"veldwaarde !name moet groter zijn dan @min."
default;;"!name field value must be less than @max.";nl;0;"veldwaarde !name moet kleiner zijn dan @max."
default;;"!name field value must format numbers as ""@example"".";nl;0;"!name veld mag alleen getallen bevatten zoals ""@example""."
default;;"!part in !name is missing.";nl;0;"!part in !name ontbreekt."
default;;"!source !operator !value";nl;0;"!source !operator !value"
default;;"!start-date to !end-date";nl;0;"!start-date tot !end-date"
default;;"!theme (administration theme)";de;0;"!theme (Verwaltungs-Theme)"
default;;"!theme (administration theme)";fr;0;"!theme (thème pour l'administration)"
default;;"!theme (administration theme)";nl;0;"!theme (admin theme)"
default;;"!theme (default theme)";de;0;"!theme (Standard-Theme)"
default;;"!theme (default theme)";fr;0;"!theme (thème par défaut)"
default;;"!theme (default theme)";nl;0;"!theme (standaard theme)"
default;;"!title is not allowed to have the same answer for more than one question.";fr;0;"! title n'est pas autorisé à avoir la même réponse pour plus d'une question."
default;;"!title is not allowed to have the same answer for more than one question.";nl;0;"!title mag niet hetzelfde antwoord hebben voor meer dan 1 vraag"
default;;"""@context"" footer";de;0;"„@context“ Fußzeile"
default;;"""@context"" footer";fr;0;"Pied de page de ""@context"""
default;;"""@context"" footer";nl;0;"""@context"" footer"
default;;"""@context"" header";de;0;"„@context“ Kopfbereich"
default;;"""@context"" header";fr;0;"Entête de ""@context"""
default;;"""@context"" header";nl;0;"""@context"" header"
default;;"""Next"" button label";nl;0;"Label voor 'Volgende-knop'"
default;;"""Previous"" button label";nl;0;"Label voor 'Vorige-knop'"
default;;"% of !description";nl;0;"% van !description"
default;;"%archive_file contains versions of modules or themes that are not compatible with Drupal !version: %names";de;1;"%archive_file beinhaltet Versionen von Modulen oder Themes, welche nicht kompatibel sind mit Drupal !version: %names"
default;;"%archive_file contains versions of modules or themes that are not compatible with Drupal !version: %names";fr;1;"%archive_file contient des versions de modules ou thèmes qui sont incompatible avec Drupal !version : %names"
default;;"%archive_file contains versions of modules or themes that are not compatible with Drupal !version: %names";nl;1;"%archive_file bevat versies van modules of themes die niet compatibel zijn met Drupal !version: %names"
default;;"%count atoms of type %type have been @op.";nl;0;"%count bestanden van het type %type werden geüpdatet."
